§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Presseauskunftsgesetz und Schutz der Arbeit der Presse  Wir Freie Demokraten fordern ein Presseauskunftsgesetz auf Bundesebene und die Erfassung von Angriffen auf Medien in der polizeilichen Kriminalstatistik§gesundheit§0.34135153889656067§[('gesundheit', 0.34135153889656067), ('bildung', 0.31101515889167786), ('politik und ideologie', 0.1320202648639679)]
0§Whistleblowerinnen und Whistleblower sollten nicht arbeits-, personal- oder strafrecht- lich belangt werden, wenn sie Straftaten oder rechtswidriges Verhalten offenbaren§gesundheit§0.37555837631225586§[('gesundheit', 0.37555837631225586), ('bildung', 0.2702789306640625), ('soziale ursachen', 0.10401804000139236)]
0§Voraussetzung ist, dass sie vorher  den Dienstweg ausgeschöpft haben oder dieser unzumutbar  Das Programm der Freien Demokraten zur Bundestagswahl  Unsere Demokratie und unsere Freiheit sind bedroht durch Extremismus, durch Populismus und durch Gleichgültigkeit§politik und ideologie§0.3428300619125366§[('politik und ideologie', 0.3428300619125366), ('gesundheit', 0.2079026848077774), ('bildung', 0.14886805415153503)]
0§Für uns Freie Demokraten ist es daher eine Kernaufgabe, die liberale Demokratie mit Leben zu erfüllen, sie fortzuentwickeln und zu verteidigen§bildung§0.25513342022895813§[('bildung', 0.25513342022895813), ('politik und ideologie', 0.2524693012237549), ('gesundheit', 0.2286590337753296)]
0§Amtszeitbegrenzung für Bundeskanzler  Wir Freie Demokraten wollen die Amtszeit von Bundeskanzle- rinnen und Bundeskanzlern auf maximal zwei volle Wahl- perioden beziehungsweise maximal zehn Jahre beschränken§politik und ideologie§0.3198079764842987§[('politik und ideologie', 0.3198079764842987), ('bildung', 0.26118674874305725), ('gesundheit', 0.16957144439220428)]
0§Demokratie lebt auch vom Wechsel der verantwortlichen Persönlichkeiten§bildung§0.3454737663269043§[('bildung', 0.3454737663269043), ('politik und ideologie', 0.31065645813941956), ('gesundheit', 0.1508755385875702)]
0§Ämter in einer Demokratie sollten deshalb grundsätzlich immer Ämter auf Zeit sein§politik und ideologie§0.34432071447372437§[('politik und ideologie', 0.34432071447372437), ('gesundheit', 0.2306566834449768), ('bildung', 0.20791663229465485)]
0§Chancen der Bürgerberatung für die Stärkung des Deutschen Bundestags nutzen  Wir Freie Demokraten bekennen uns zur repräsentativen Demokratie§politik und ideologie§0.3750619888305664§[('politik und ideologie', 0.3750619888305664), ('bildung', 0.24996225535869598), ('gesundheit', 0.1443314403295517)]
0§Die zentralen Orte der Diskussion und Ent- scheidung sind unsere Parlamente§politik und ideologie§0.41526341438293457§[('politik und ideologie', 0.41526341438293457), ('bildung', 0.13999877870082855), ('gesundheit', 0.13775759935379028)]
0§Auch die repräsentative Demokratie gewinnt aber durch neue Instrumente der Be- teiligung der Bürgerinnen und Bürger außerhalb von Wahlen§politik und ideologie§0.4214474558830261§[('politik und ideologie', 0.4214474558830261), ('bildung', 0.2600007951259613), ('gesundheit', 0.11115943640470505)]
0§Entscheidender Adressat und Auftraggeber für mehr Bürger- beteiligung sind für uns daher die Parlamente, etwa durch die Möglichkeit der Bürgerberatung durch Hausparlamente, die    Erweiterung des Petitionsrechts um das „Bürgerplenarverfah-  ren” oder durch per Zufallsauswahl besetzte Bürgerräte§bildung§0.290496826171875§[('bildung', 0.290496826171875), ('politik und ideologie', 0.20367012917995453), ('gesundheit', 0.1931111216545105)]
0§Stets muss dabei unmissverständlich klargestellt sein, dass nur das  Parlament legitimierte Entscheidungen trifft, der Beratungsauf- trag klar eingegrenzt und die Erwartungen klar definiert sind§gesundheit§0.2721622586250305§[('gesundheit', 0.2721622586250305), ('bildung', 0.24365316331386566), ('politik und ideologie', 0.13531051576137543)]
0§Der Deutsche Bundestag sollte zudem auf Open-Source-Basis eine digitale Plattform mit einer Vorhabenliste einrichten, die  staatliche Behörden und Einrichtungen verpflichtet, ihre Pläne und Abwägungen künftig im Sinne echter Informationsfreiheit zu dokumentieren sowie der öffentlichen Kommentierung zu-  gänglich zu machen§bildung§0.3027711808681488§[('bildung', 0.3027711808681488), ('gesundheit', 0.21760287880897522), ('politik und ideologie', 0.09210243076086044)]
0§Legislaturperiode auf fünf Jahre verlängern, Wahlen bündeln  Wir Freie Demokraten wollen die Legislaturperiode des Deutschen Bundestags von vier auf fünf Jahre verlängern§politik und ideologie§0.37456151843070984§[('politik und ideologie', 0.37456151843070984), ('bildung', 0.23483096063137054), ('gesundheit', 0.1598822921514511)]
0§Die Wahltermine der Länder sollen stärker gebündelt werden§bildung§0.40485820174217224§[('bildung', 0.40485820174217224), ('gesundheit', 0.25940075516700745), ('politik und ideologie', 0.08813556283712387)]
0§Eine Legislaturperiode wird zu Beginn wesentlich durch die Zeit für Sondierungsgespräche sowie Koalitionsverhand- lungen und zum Ende hin durch den Wahlkampf bestimmt§bildung§0.38641658425331116§[('bildung', 0.38641658425331116), ('gesundheit', 0.24331188201904297), ('politik und ideologie', 0.15176983177661896)]
0§Angesichts der Komplexität vieler Gesetze ist es sinnvoll, die Legislaturperiode und damit auch die Regierungszeit zu ver- längern§gesundheit§0.2902836203575134§[('gesundheit', 0.2902836203575134), ('bildung', 0.2831205725669861), ('politik und ideologie', 0.15549911558628082)]
0§Zugleich würden weniger Wahltermine den Dauer- wahlkampf verhindern§bildung§0.2428036779165268§[('bildung', 0.2428036779165268), ('gesundheit', 0.22017666697502136), ('politik und ideologie', 0.14949986338615417)]
0§Deutschen Bundestag verkleinern  Wir Freie Demokraten wollen einen immer weiter wachsen- den Deutschen Bundestag verhindern§politik und ideologie§0.3284657299518585§[('politik und ideologie', 0.3284657299518585), ('gesundheit', 0.17585836350917816), ('bildung', 0.1729964166879654)]
0§Durch Überhang- und Ausgleichsmandate überschreitet der Bundestag mit§politik und ideologie§0.2950141429901123§[('politik und ideologie', 0.2950141429901123), ('bildung', 0.265612930059433), ('gesundheit', 0.13895121216773987)]
0§Abgeordneten aktuell die vom Bundeswahlgesetz vorgesehe- ne Zahl von Abgeordneten deutlich§bildung§0.313463032245636§[('bildung', 0.313463032245636), ('gesundheit', 0.25723692774772644), ('politik und ideologie', 0.1293516755104065)]
0§Das erschwert nicht nur die Arbeit im Parlament, sondern ist auch kostspielig§gesundheit§0.38416817784309387§[('gesundheit', 0.38416817784309387), ('wirtschaft', 0.2432190626859665), ('bildung', 0.11609839648008347)]
0§Wir schlagen deshalb vor, die Anzahl der Wahlkreise und damit der Direktmandate auf zu beschränken§gesundheit§0.307564914226532§[('gesundheit', 0.307564914226532), ('bildung', 0.24738219380378723), ('politik und ideologie', 0.1372668743133545)]
0§Damit redu- zieren wir die Wahrscheinlichkeit von Überhangmandaten§gesundheit§0.40822234749794006§[('gesundheit', 0.40822234749794006), ('bildung', 0.1565621942281723), ('soziale ursachen', 0.09495441615581512)]
0§Außerdem wollen wir das sogenannte Mindestsitzzahlver- fahren abschaffen, weil es zu einer erheblichen Vergrößerung des Deutschen Bundestags führen kann§politik und ideologie§0.2930530309677124§[('politik und ideologie', 0.2930530309677124), ('gesundheit', 0.19101379811763763), ('bildung', 0.1812812238931656)]
0§Der Grundsatz, dass jede Stimme gleich viel zählt, darf im Zuge einer Reform des Wahlrechts nicht angetastet werden§gesundheit§0.2874870300292969§[('gesundheit', 0.2874870300292969), ('bildung', 0.21679925918579102), ('politik und ideologie', 0.20284314453601837)]
0§Wahlrecht ab§bildung§0.3113519549369812§[('bildung', 0.3113519549369812), ('gesundheit', 0.19738079607486725), ('wirtschaft', 0.14505834877490997)]
0§Wir Freie Demokraten fordern eine Absenkung des Wahl- alters auf Jahre für die Wahlen zum Deutschen Bundestag und Europäischen Parlament§politik und ideologie§0.30870863795280457§[('politik und ideologie', 0.30870863795280457), ('bildung', 0.26655396819114685), ('gesundheit', 0.20625321567058563)]
0§Als Voraussetzung dafür ist die politische Bildung an allen Schulformen zu verstärken§bildung§0.432447612285614§[('bildung', 0.432447612285614), ('politik und ideologie', 0.4043472707271576), ('gesundheit', 0.05199897289276123)]
0§Das Wahlrecht ist der Schlüssel zur politischen Partizipation§politik und ideologie§0.5559536218643188§[('politik und ideologie', 0.5559536218643188), ('bildung', 0.17137029767036438), ('gesundheit', 0.1356818974018097)]
0§Es ist das vornehmste Recht in einer Demokratie§bildung§0.3337734341621399§[('bildung', 0.3337734341621399), ('gesundheit', 0.31546908617019653), ('politik und ideologie', 0.1104363426566124)]
0§Die Ausweitung des Wahlrechts war stets Zeichen des gesellschaftlichen Fort- schritts§politik und ideologie§0.2683615982532501§[('politik und ideologie', 0.2683615982532501), ('gesundheit', 0.2039128988981247), ('wirtschaft', 0.1513025164604187)]
0§Junge Menschen nehmen bereits in vielen Lebensbe- reichen Verantwortung wahr, werden aber von der politischen Teilhabe ausgeschlossen§politik und ideologie§0.6742874979972839§[('politik und ideologie', 0.6742874979972839), ('bildung', 0.15988534688949585), ('gesundheit', 0.05141899362206459)]
0§Dabei sind sie diejenigen, die am längsten von politischen Entscheidungen beeinflusst werden§politik und ideologie§0.524850606918335§[('politik und ideologie', 0.524850606918335), ('bildung', 0.21363681554794312), ('gesundheit', 0.15158599615097046)]
0§Das Wahlrecht ab ist gelebte Generationengerechtigkeit§bildung§0.37319597601890564§[('bildung', 0.37319597601890564), ('gesundheit', 0.29837390780448914), ('politik und ideologie', 0.08649033308029175)]
0§Das Programm der Freien Demokraten zur Bundestagswahl  Wir Freie Demokraten treten für eine Gesellschaft ein, in der jede und jeder unabhängig von Herkunft, Aussehen, Religion oder politischer Ansichten, frei leben und sich frei äußern kann§bildung§0.3689004182815552§[('bildung', 0.3689004182815552), ('politik und ideologie', 0.1941697597503662), ('gesundheit', 0.17465180158615112)]
0§Menschenrechte, Meinungsfreiheit und der Schutz von Minderheiten sind für unser Zusammenleben unverzichtbar§gesundheit§0.31772127747535706§[('gesundheit', 0.31772127747535706), ('bildung', 0.3092624843120575), ('none', 0.08925783634185791)]
0§Wir Freie Demokraten machen uns daher stark für unsere freiheitliche Gesellschaft und gegen Rassismus, Fremdenhass, Antisemitismus und Homophobie§bildung§0.35908272862434387§[('bildung', 0.35908272862434387), ('politik und ideologie', 0.20817463099956512), ('gesundheit', 0.20794883370399475)]
0§Liberaler Feminismus  Wir Freie Demokraten stehen für einen liberalen Feminismus, der auf der Rechtsgleichheit aller Geschlechter aufbaut und für alle Individuen Freiheits- und Entfaltungsräume erweitern will§politik und ideologie§0.5740483999252319§[('politik und ideologie', 0.5740483999252319), ('bildung', 0.20237292349338531), ('gesundheit', 0.059944480657577515)]
0§Der liberale Feminismus strebt die Selbstbestimmung aller Individuen frei von gesellschaftliichen Rollenzuschreibun- gen aufgrund ihres gewählten oder biologischen Geschlechts an§gesundheit§0.37614136934280396§[('gesundheit', 0.37614136934280396), ('bildung', 0.3233558237552643), ('klima', 0.11139638721942902)]
0§Für einen gesamitgesellschaftlichen Konsens gegen jede Form von Extremismus  Wir Freie Demokraten verurteilen jede Form des Extremis- mus§bildung§0.4123421013355255§[('bildung', 0.4123421013355255), ('politik und ideologie', 0.18699997663497925), ('gesundheit', 0.12614890933036804)]
0§Politischen Extremismus von Rechts- bis Linksextremismus lehnen wir ebenso ab wie religiös oder nationalistisch moti- vierten Extremismus§politik und ideologie§0.8270461559295654§[('politik und ideologie', 0.8270461559295654), ('bildung', 0.0831487625837326), ('gesundheit', 0.03862426429986954)]
0§Gruppenbezogene Menschenfeindlich- keit, die Überhöhung der eigenen Gruppe oder Nation und die Herabwürdigung anderer sowie Drohungen und Gewalt verfügen niemals über eine moralische Überlegenheit§bildung§0.387396901845932§[('bildung', 0.387396901845932), ('gesundheit', 0.1737840324640274), ('politik und ideologie', 0.10404413938522339)]
0§Die wissenschaftliche Expertise in den Sicherheitsbehörden bei der Bekämpfung verschiedener Extremismusformen muss ausgebaut werden§wissenschaft§0.7041980028152466§[('wissenschaft', 0.7041980028152466), ('bildung', 0.1812559962272644), ('gesundheit', 0.05277762562036514)]
0§Der Bund sollte die Präventionsarbeit und funktionierende Aussteigerprogramme zu unterschiedlichen Extremismusformen auf eine verlässliche finanzielle Grund- lage stellen§bildung§0.5283385515213013§[('bildung', 0.5283385515213013), ('wirtschaft', 0.10169307887554169), ('gesundheit', 0.08622650802135468)]
0§Gemeinsam gegen Rechtsextremismus und Rassismus  Wir Freie Demokraten erkennen die Bekämpfung von Rechts- extremismus und Rassismus als besondere Herausforderung an§gesundheit§0.3680327534675598§[('gesundheit', 0.3680327534675598), ('bildung', 0.28792327642440796), ('klima', 0.10352420806884766)]
0§Wir stellen uns Diskriminierung und gruppenbezogener Menschenfeindlichkeit aktiv entgegen§bildung§0.32344159483909607§[('bildung', 0.32344159483909607), ('gesundheit', 0.2452905774116516), ('politik und ideologie', 0.11173605918884277)]
0§Rechtsextreme Vereini- gungen müssen konsequent verboten werden§bildung§0.2579726576805115§[('bildung', 0.2579726576805115), ('politik und ideologie', 0.18308554589748383), ('gesundheit', 0.17093956470489502)]
0§Die Beobach- tung rechtsextremer Gefährderinnen und Gefährder muss zügig intensiviert werden§gesundheit§0.33610278367996216§[('gesundheit', 0.33610278367996216), ('bildung', 0.30536627769470215), ('politik und ideologie', 0.0744776576757431)]
0§Die Sicherheitsbehörden müssen sich besser um den Schutz besonders gefährdeter Gruppen und ihrer Einrichtungen kümmern§bildung§0.3331422805786133§[('bildung', 0.3331422805786133), ('gesundheit', 0.19927717745304108), ('wissenschaft', 0.08391343802213669)]
0§Für Menschen mit gefähr- lichen rechtsextremen Einstellungen ist im öffentlichen Dienst kein Platz§bildung§0.33172348141670227§[('bildung', 0.33172348141670227), ('gesundheit', 0.18634748458862305), ('klima', 0.14640556275844574)]
0§Null Toleranz gegenüber Antisemitismus  Wir Freie Demokraten fordern ein entschiedenes Vorgehen   gegen jede Form des Antisemitismus§none§0.679667055606842§[('none', 0.679667055606842), ('bildung', 0.09867719560861588), ('gesundheit', 0.08479609340429306)]
0§Jüdisches Leben in Deutschland und Europa ist für uns integraler Bestandteil unserer Zivilgesellschaft§bildung§0.3257996439933777§[('bildung', 0.3257996439933777), ('gesundheit', 0.2493208944797516), ('soziale ursachen', 0.16629014909267426)]
0§Politik und Sicherheitsbehörden müssen die spezifische Gefährdung jüdischen Lebens ernst nehmen und sich ihr entschieden entgegenstellen§politik und ideologie§0.5076109766960144§[('politik und ideologie', 0.5076109766960144), ('bildung', 0.2518216371536255), ('gesundheit', 0.1228729858994484)]
